File,Source_Contract,Source_Function,Target_Contract,Chain
SigningLogicInitializable.sol,SigningLogicInitializable,initialize,SigningLogicInitializable,initializer
DiscoveryProviderFactory.sol,DiscoveryProviderFactory,register,DiscoveryProviderFactory,NewDiscoveryProvider
SocialFeatureFactory.sol,SocialFeatureFactory,constructor,SocialFeatureFactory,No Chain
SocialFeatureFactory.sol,SocialFeatureFactory,addTrackRepost,SocialFeatureFactory,TrackRepostAdded
SocialFeatureFactory.sol,SocialFeatureFactory,addPlaylistRepost,SocialFeatureFactory,PlaylistRepostAdded
SocialFeatureFactory.sol,SocialFeatureFactory,deleteTrackRepost,SocialFeatureFactory,TrackRepostDeleted
SocialFeatureFactory.sol,SocialFeatureFactory,deletePlaylistRepost,SocialFeatureFactory,PlaylistRepostDeleted
SocialFeatureFactory.sol,SocialFeatureFactory,addUserFollow,SocialFeatureFactory,UserFollowAdded
SocialFeatureFactory.sol,SocialFeatureFactory,deleteUserFollow,SocialFeatureFactory,UserFollowDeleted
IPLDBlacklistFactory.sol,IPLDBlacklistFactory,constructor,IPLDBlacklistFactory,No Chain
IPLDBlacklistFactory.sol,IPLDBlacklistFactory,addIPLDToBlacklist,IPLDBlacklistFactory,AddIPLDToBlacklist
TrackFactory.sol,TrackFactory,constructor,TrackFactory,No Chain
TrackFactory.sol,TrackFactory,addTrack,TrackFactory,NewTrack
TrackFactory.sol,TrackFactory,updateTrack,TrackFactory,No chain
TrackFactory.sol,TrackFactory,updateTrack,TrackFactory,No chain
TrackFactory.sol,TrackFactory,updateTrack,TrackFactory,UpdateTrack
TrackFactory.sol,TrackFactory,deleteTrack,TrackFactory,No chain
TrackFactory.sol,TrackFactory,deleteTrack,TrackFactory,No chain
TrackFactory.sol,TrackFactory,deleteTrack,TrackFactory,TrackDeleted
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
UserReplicaSetManager.sol,UserReplicaSetManager,initialize,UserReplicaSetManager,initializer
UserReplicaSetManager.sol,UserReplicaSetManager,seedBootstrapNodes,UserReplicaSetManager,AddOrUpdateContentNode
UserReplicaSetManager.sol,UserReplicaSetManager,addOrUpdateContentNode,UserReplicaSetManager,AddOrUpdateContentNode
UserReplicaSetManager.sol,UserReplicaSetManager,updateReplicaSet,UserReplicaSetManager,UpdateReplicaSet
UserFactory.sol,UserFactory,constructor,UserFactory,No Chain
UserFactory.sol,UserFactory,addUser,UserFactory,AddUser
UserFactory.sol,UserFactory,updateMultihash,UserFactory,No chain
UserFactory.sol,UserFactory,updateMultihash,UserFactory,No chain
UserFactory.sol,UserFactory,updateMultihash,UserFactory,UpdateMultihash
UserFactory.sol,UserFactory,updateName,UserFactory,No chain
UserFactory.sol,UserFactory,updateName,UserFactory,No chain
UserFactory.sol,UserFactory,updateName,UserFactory,UpdateName
UserFactory.sol,UserFactory,updateLocation,UserFactory,No chain
UserFactory.sol,UserFactory,updateLocation,UserFactory,No chain
UserFactory.sol,UserFactory,updateLocation,UserFactory,UpdateLocation
UserFactory.sol,UserFactory,updateBio,UserFactory,No chain
UserFactory.sol,UserFactory,updateBio,UserFactory,No chain
UserFactory.sol,UserFactory,updateBio,UserFactory,UpdateBio
UserFactory.sol,UserFactory,updateProfilePhoto,UserFactory,No chain
UserFactory.sol,UserFactory,updateProfilePhoto,UserFactory,No chain
UserFactory.sol,UserFactory,updateProfilePhoto,UserFactory,UpdateProfilePhoto
UserFactory.sol,UserFactory,updateCoverPhoto,UserFactory,No chain
UserFactory.sol,UserFactory,updateCoverPhoto,UserFactory,No chain
